#Level Damage Error
1 5.939 0.03
2 6.791 0.034
3 7.035 0.035
4 13.832 0.05
5 24.99 0.074
6 26.843 0.077
7 26.843 0.077
8 30.4 0.083
9 30.4 0.083
10 35.571 0.081
11 52.84 0.11
12 52.84 0.11
13 53.818 0.106
14 53.818 0.106
15 56.15 0.108
16 56.15 0.108
17 63.34 0.136 
18 63.34 0.136 
19 67.597 0.129
20 86.211 0.166
